Number,Name,ID
3956,SSN2,YDR443C
4076,NA,YDR444W
3749,RPS17B,YDR447C
4136,ADA2,YDR448W
1159,RPS18A,YDR450W
3379,PPN1,YDR452W
265,TSA2,YDR453C
2922,GUK1,YDR454C
517,TOM1,YDR457W
640,HEH2,YDR458C
542,PFA5,YDR459C
1814,RMT2,YDR465C
70,PKH3,YDR466W
1497,TLG1,YDR468C
3336,UGO1,YDR470C
3334,JIP4,YDR475C
4331,NA,YDR476C
3810,SNF1,YDR477W
774,SNM1,YDR478W
2993,DIG2,YDR480W
869,PHO8,YDR481C
4138,CWC21,YDR482C
955,KRE2,YDR483W
293,VPS52,YDR484W
2890,VPS60,YDR486C
888,RIB3,YDR487C
97,PAC11,YDR488C
4056,IZH1,YDR492W
3266,RSM28,YDR494W
3065,PUF6,YDR496C
3098,ITR1,YDR497C
4191,LCD1,YDR499W
3503,PLM2,YDR501W
11,SAM2,YDR502C
2926,LPP1,YDR503C
3852,SPG3,YDR504C
2807,GNP1,YDR508C
1360,SMT3,YDR510W
1002,SDH7,YDR511W
1198,EMI1,YDR512C
1031,SLF1,YDR515W
3650,GRH1,YDR517W
298,SPS1,YDR523C
698,AGE1,YDR524C
77,NA,YDR524C-B
3407,RBA50,YDR527W
3672,HLR1,YDR528W
3879,APA2,YDR530C
3846,KRE28,YDR532C
875,FIT1,YDR534C
3147,STL1,YDR536W
938,PAD1,YDR538W
2959,FDC1,YDR539W
1491,IRC4,YDR540C
3321,NA,YDR541C
4385,PAU10,YDR542W
3579,YRF1-1,YDR545W
2871,MIT1,YEL007W
930,GCN4,YEL009C
16,GLC3,YEL011W
4488,UBC8,YEL012W
1274,NPP2,YEL016C
243,GTT3,YEL017W
4065,EAF5,YEL018W
4038,MMS21,YEL019C
1798,NA,YEL023C
1407,RIP1,YEL024W
1586,NA,YEL025C
1638,ECM10,YEL030W
65,SPF1,YEL031W
4232,UTR5,YEL035C
1860,ANP1,YEL036C
3185,CYC7,YEL039C
866,UTR2,YEL040W
525,YEF1,YEL041W
3667,IES6,YEL044W
2912,GLY1,YEL046C
353,FRD1,YEL047C
981,TCA17,YEL048C
1719,PAU2,YEL049W
604,MAK10,YEL053C
3143,POL5,YEL055C
1261,SOM1,YEL059C-A
3622,CIN8,YEL061C
147,CAN1,YEL063C
1103,AVT2,YEL064C
389,HPA3,YEL066W
3697,DSF1,YEL070W
4271,DLD3,YEL071W
1833,NA,YEL073C
3509,NA,YEL075C
1404,NA,YEL076C
4814,NA,YEL076C-A
3671,NA,YEL077C
3388,NOP16,YER002W
68,PMI40,YER003C
1482,YND1,YER005W
3831,NUG1,YER006W
1238,TMA20,YER007C-A
780,PAC2,YER007W
12,SEC3,YER008C
4029,TIR1,YER011W
3367,HEM14,YER014W
127,BIM1,YER016W
3228,AFG3,YER017C
4298,SPC25,YER018C
1146,ISC1,YER019W
2974,GPA2,YER020W
29,PRO3,YER023W
3914,CHO1,YER026C
4445,GAL83,YER027C
466,SMB1,YER029C
884,CHZ1,YER030W
966,YPT31,YER031C
3077,FIR1,YER032W
4093,NA,YER034W
1559,EDC2,YER035W
4127,ARB1,YER036C
4096,KRE29,YER038C
3467,NA,YER039C-A
523,GLN3,YER040W
3955,YEN1,YER041W
3889,MXR1,YER042W
4237,ERG28,YER044C
3971,MEI4,YER044C-A
3827,ACA1,YER045C
4195,SAP1,YER047C
4406,CAJ1,YER048C
3173,TPA1,YER049W
4704,PIC2,YER053C
3002,NA,YER053C-A
486,GIP2,YER054C
116,HIS1,YER055C
2854,FCY2,YER056C
305,RPL34A,YER056C-A
2848,HMF1,YER057C
1670,PET117,YER058W
3823,FCY21,YER060W
684,FCY22,YER060W-A
3537,CEM1,YER061C
2836,GPP2,YER062C
314,THO1,YER063W
4379,VHR2,YER064C
3055,ICL1,YER065C
359,RGI1,YER067W
3585,MOT2,YER068W
818,"ARG5,6",YER069W
85,ALD5,YER073W
2952,RPS24A,YER074W
1580,PTP3,YER075C
4530,NA,YER076C
1117,MRX1,YER077C
1150,ICP55,YER078C
3858,NA,YER078W-A
3491,SER3,YER081W
751,GET2,YER083C
3712,ILV1,YER086W
3512,SBH1,YER087C-B
3397,AIM10,YER087W
3811,DOT6,YER088C
1428,PTC2,YER089C
